id,tema,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,correta,explicacao,dificuldade,tags
CUR2-068,Sofrimento Fetal Agudo e Crônico,"Componentes do Perfil Biofísico Fetal (PBF) incluem, EXCETO:",Movimentos corporais,Movimentos respiratórios,Tônus fetal,Índice de líquido amniótico,PSV da artéria cerebral média,E,"PBF tradicional não inclui Doppler; avalia movimentos, tônus, respiração, LA e CTG (ou reatividade).",2,"PBF,componentes"
CUR2-069,Sofrimento Fetal Agudo e Crônico,CTG com variabilidade ausente e padrão sinusoidal sustentado. Interpretação:,Sono fetal,Anemia fetal grave / hemorragia,Compressão de cordão leve,Normal do intraparto,Artefato habitualmente,B,Padrão sinusoidal é associado a anemia severa.,4,"sinusoidal,anemia"
CUR2-070,Sofrimento Fetal Agudo e Crônico,TaqÜissistolia (≥5 contrações/10 min) com desacelerações tardias. Primeira conduta:,Aumentar infusão de ocitocina,Suspender ocitocina e medidas intrauterinas,Realizar amniotomia,Forçar pujos,Alta,B,Reduzir estimulação uterina e otimizar perfusão.,3,"taquissistolia,medidas intrauterinas"
CUR2-071,Sofrimento Fetal Agudo e Crônico,Quando considerar coleta de lactato/pH de couro cabeludo intraparto (onde disponível):,Categoria I,Categoria III franca com bradicardia terminal,Categoria II persistente sem melhora após medidas,Traçado habitualmente normal,Em todas as pacientes,C,Pode ajudar na estratificação de traçados intermediários persistentes.,3,"couro cabeludo,lactato,cat II"
CUR2-072,Sofrimento Fetal Agudo e Crônico,DFM (diminuição de movimentos fetais) relatada. Conduta inicial adequada:,Alta e revisar em 1 semana,Avaliar com CTG/PBF conforme protocolo e orientar vigilância materna,Amniotomia,Internação de rotina,Nenhuma avaliação,B,DFM exige avaliação de vitalidade (CTG/PBF) e orientação.,2,"DFM,CTG,PBF"
CUR2-073,Sofrimento Fetal Agudo e Crônico,Sequência típica de piora Doppler em RCIU placentário:,ACM baixa → AU ausente → DV reverso,ACM elevada → AU ausente/reversa → DV alterado,DV alterado → AU ausente → ACM baixa,Nada se altera em sequência,ACM normal habitualmente,B,"Centralização (ACM↑) seguida de alterações na AU e, por fim, DV.",3,"RCIU,sequência Doppler"
CUR2-074,Sofrimento Fetal Agudo e Crônico,Indicação de interrupção em RCIU:,"ACM 1,0 MoM",AU com diástole reversa com 30–32s após corticoterapia e suporte neonatal,PBF 10/10,LA normal,Peso estimado >p50,B,Diástole reversa na AU é marcador grave e indica interrupção com planejamento neonatal.,4,"RCIU,AU reversa,parto"
CUR2-075,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",Sífilis: queda esperada do VDRL após tratamento adequado na gestação (tendência):,"Queda de pelo menos duas diluições ao longo de meses, conforme estágio",Negativação indicação frequente em 2 semanas,Título invariavelmente sobe antes de cair,Nenhuma mudança até o puerpério,Aumento de quatro diluições é esperado,A,"Após tratamento adequado, espera‑se queda gradual (≥2 diluições) conforme estágio; nem sempre negativará rapidamente.",2,"sífilis,seguimento,VDRL"
CUR2-076,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",Reação de Jarisch-Herxheimer na gestação está associada a:,Prevenção de parto prematuro,Risco de hipertonia uterina e alterações FCF após início da penicilina,Hipotireoidismo,Hiperêmese,Nenhuma repercussão,B,"Pode ocorrer após início do tratamento, exigindo vigilância fetal.",3,"sífilis,Jarisch-Herxheimer"
CUR2-077,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",Profilaxia intraparto para EGB é indicada quando:,Profilaxia preferencialmente se carga ≥10^5 UFC/mL,Bacteriúria por EGB em qualquer contagem na gestação indica profilaxia intraparto,Triagem 35–37s negativa exige profilaxia,Preferencialmente alergia à penicilina indica profilaxia,Cesárea eletiva com membranas íntegras indica profilaxia,B,"EGB em urocultura, mesmo em baixas contagens, é indicação de profilaxia intraparto.",3,"GBS,profilaxia,urocultura"
CUR2-078,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",Antibiótico de primeira linha para profilaxia intraparto de EGB (sem alergia):,Cefalexina,Penicilina G ou ampicilina EV,Ceftriaxona,Vancomicina habitualmente,Azitromicina,B,Penicilina G/ampicilina EV são primeira linha para EGB intraparto.,2,"GBS,penicilina,ampicilina"
CUR2-079,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",Toxoplasmose gestacional confirmada com infecção fetal. Esquema clássico:,Espiramicina até o fim,Sulfadiazina + pirimetamina + ácido folínico em ciclos,Preferencialmente azitromicina,Doxiciclina,Preferencialmente ácido folínico,B,Infecção fetal: esquema triplo com folínico (após 1º tri).,3,"toxoplasmose,triplo,folínico"
CUR2-080,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB","HBsAg+ na gestação: para o RN ao nascer, recomenda-se:",Preferencialmente vacina em 24h,Vacina + imunoglobulina específica nas primeiras 12–24h,Preferencialmente imunoglobulina,Adiar até 7º dia,Nenhuma medida,B,Vacina + HBIG nas primeiras horas reduz transmissão vertical.,2,"HBV,HBIG,vacina RN"
CUR2-081,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",Coriamnionite (suspeita intraparto): conduta:,Alta domiciliar,Antibiótico amplo EV e indicar interrupção do parto,Preferencialmente antitérmico,Aguardar resolução espontânea,Preferencialmente hidratação,B,Coriamnionite exige antibiótico EV e indicação de parto.,3,"coriamnionite,antibiótico,parto"
CUR2-082,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB","HIV com CV indetectável em 38s, TARV regular. Via de parto:",Cesárea indicação frequente,"Parto vaginal possível com cuidados, sem indicação de cesárea por CV",Fórceps profilático,Contraindicar amamentação em todos os casos,Suspender TARV,B,"Com CV indetectável, parto vaginal é possível (protocolos locais); manutenção da TARV.",2,"HIV,via parto,CV baixa"
CUR2-083,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",ITU baixa sintomática na gestação. Opção adequada inicial (conforme sensibilidade local):,Nitrofurantoína 5–7 dias,Ciprofloxacino,Doxiciclina,Aminoglicosídeo IM ambulatorial,Sem antibiótico,A,Nitrofurantoína é opção segura para cistite não complicada na gestação (evitar perto do termo conforme protocolo).,2,"ITU,cistite,nitrofurantoína"
CUR2-084,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",Triagem universal para EGB é recomendada em que período:,12–16 semanas,19–22 semanas,35–37 semanas,Após 40 semanas,Preferencialmente no parto,C,Janela 35–37s equilibra sensibilidade/especificidade para o intraparto próximo.,2,"GBS,triagem,35-37"
CUR2-085,Infertilidade Conjugal,Mulher ≥35 anos com 6 meses de tentativa sem concepção. Conduta:,Investigar após 6 meses sem concepção,Habitualmente aguardar 12 meses,Investigar preferencialmente após 24 meses,Induzir ovulação sem investigação,Solicitar preferencialmente histeroscopia,A,≥35 anos: inicia‑se investigação após 6 meses de tentativas sem êxito.,2,"idade,tempo investigação"
CUR2-086,Infertilidade Conjugal,"Avaliação do fator ovulatório inclui, EXCETO:",História de ciclos regulares,Progesterona sérica na fase lútea,US de ovulação seriada,Dosagem de AMH para ovulação do ciclo atual,Temperatura basal,D,"AMH avalia reserva, não confirma ovulação do ciclo corrente.",3,"ovulação,progesterona,AMH"
CUR2-087,Infertilidade Conjugal,Avaliação da reserva ovariana: melhor conjunto de testes:,Progesterona na fase lútea,"FSH e estradiol no D3, AMH e contagem de folículos antrais",Prolactina isolada,TSH isolado,Beta-hCG,B,"FSH/E2 D3, AMH e AFC estimam reserva ovariana.",3,"reserva,FSH,AMH,AFC"
CUR2-088,Infertilidade Conjugal,Infertilidade sem fator masculino; seleção para inseminação intrauterina (IIU) típica leva em conta:,TMC (total de motéis) pós-capacitação adequado,Preferencialmente morfologia,Preferencialmente volume seminal,Habitualmente IVF diretamente,Nenhum critério,A,TMC pós-capacitação adequado é preditor de sucesso na IIU.,2,"IIU,TMC,capacitação"
CUR2-089,Infertilidade Conjugal,Indicação clássica de FIV em vez de IIU:,Fator tubário bilateral obstrutivo,Ovulação regular,Espermograma normal,Ciclos irregulares leves,Idade <30a,A,Obstrução bilateral das trompas direciona para FIV.,3,"FIV,fator tubário"
CUR2-090,Infertilidade Conjugal,Hiperprolactinemia e infertilidade. Primeira abordagem:,Letrozol é primeira linha,"Cabergolina/Bromocriptina após avaliar a causa, quando indicado",Danazol é droga de escolha,Iniciar FIV diretamente,Antibioticoterapia por 14 dias,B,Hiperprolactinemia: investigar etiologia e tratar com agonista dopaminérgico quando indicado.,3,"hiperprolactinemia,cabergolina"
CUR2-091,Infertilidade Conjugal,Endometriose moderada com dor e infertilidade. Opção terapêutica com melhor chance de gravidez:,Preferencialmente ACO contínuo,Cirurgia conservadora vs FIV dependendo da idade/reserva,Antibiótico,Dieta exclusiva,Não tratar,B,Cirurgia pode restaurar anatomia; FIV se idade/reserva indicar.,3,"endometriose,cirurgia,FIV"
CUR2-092,Infertilidade Conjugal,Definição clássica de infertilidade:,Incapacidade de conceber após 24 meses de coitos desprotegidos,Incapacidade de conceber após período apropriado (12 meses <35a; 6 meses ≥35a),Habitualmente 3 meses,Preferencialmente se houver SOP,Preferencialmente se homem tiver varicocele,B,Critério temporal depende da idade feminina.,2,"definição,tempo"
CUR2-093,Infertilidade Conjugal,Fator masculino: parâmetro anormal no espermograma que demanda reavaliação:,"Concentração 20 mi/mL, motilidade total 45%","Concentração 8 mi/mL, motilidade 30%","Volume 2,5 mL",Morfologia 6% (estrita),"pH 7,8",B,Concentração baixa e motilidade reduzida indicam alteração significativa.,2,"fator masculino,espermograma"
CUR2-094,Infertilidade Conjugal,Contraindicação relativa à indução ovulatória com clomifeno/letrozol:,Amenorreia por hiperprolactinemia não tratada,Ciclos longos por SOP leve,IMC 26,Idade 28,Tireoide normal,A,Tratar hiperprolactinemia antes de indução.,2,"indução,hiperprolactinemia"
CUR2-095,Infertilidade Conjugal,HSG mostra trompa direita pérvia e esquerda obstruída. Próxima conduta:,FIV imediatamente para todas,"Avaliar conjunto (idade, tempo, fator masculino) e considerar IIU",Cirurgia indicação frequente,Aguardar 2 anos,Suspender tentativa,B,"Com uma trompa pérvia e parâmetros favoráveis, IIU pode ser opção.",2,"HSG,unilateral,IIU"
CUR2-096,Infertilidade Conjugal,Infertilidade inexplicada em casal jovem. Conduta inicial razoável:,FIV direta para todos,Ciclos de IIU com indução leve por alguns meses antes de FIV,Aguardar indefinidamente,Cirurgia exploradora de rotina,Esquema antibiótico,B,IIU com indução leve é estratégia inicial comum antes de FIV.,2,"inexplicada,IIU,passo-a-passo"
CUR2-097,Tireoidopatias na Gestação,Gestante hipotireoidea previamente tratada engravida. Conduta habitual na confirmação da gestação:,Reduzir a dose de levotiroxina,Aumentar a dose em ~25–30% e monitorar TSH a cada 4–6 semanas,Suspender levotiroxina,Trocar por metimazol,Repetir TSH preferencialmente no pós‑parto,B,A necessidade de T4 aumenta na gestação; eleva‑se a dose e monitoriza‑se o TSH frequentemente.,3,"hipotireoidismo,ajuste dose"
CUR2-098,Tireoidopatias na Gestação,Hipotireoidismo subclínico com TPO+ no 1º tri. Conduta mais aceita:,Não tratar em geral não,Considerar levotiroxina visando TSH em alvos do 1º tri,Iodo radioativo,Metimazol,Preferencialmente repetir em 1 ano,B,TPO+ e TSH acima do limite do trimestre favorecem tratamento.,3,"subclínico,TPO+,levotiroxina"
CUR2-099,Tireoidopatias na Gestação,Meta de TSH na gestação (1º trimestre) em tratamento:,"0,1–2,5 mUI/L","3,5–5,0 mUI/L",5–7 mUI/L,Qualquer valor é aceitável,Preferencialmente T3 importa,A,"Meta de TSH no 1º trimestre costuma ser ~0,1–2,5 mUI/L em gestantes tratadas.",2,"TSH,metas,1º tri"
CUR2-100,Tireoidopatias na Gestação,Hipertireoidismo no 2º/3º tri. Tratamento preferido:,PTU durante toda a gestação,Metimazol (após 1º tri) em menor dose eficaz,Iodo radioativo,Aumentar levotiroxina,Preferencialmente betabloqueador,B,"Após 1º tri, metimazol é preferido.",2,"hipertireoidismo,metimazol"
CUR2-101,Tireoidopatias na Gestação,Crise tireotóxica na gestação. Pilar terapêutico imediato:,Preferencialmente hidratação,"Betabloqueador, antitireoidiano, iodeto após ATD, corticoide e suporte intensivo",Iodo radioativo,Suspender todos medicamentos,Preferencialmente antipirético,B,Crise exige terapia combinada e suporte intensivo.,4,"crise tireotóxica,gestação"
CUR2-102,Tireoidopatias na Gestação,TRAb elevado em mãe com Graves. Implicação fetal:,Nenhuma relevância,"Risco de tireotoxicose fetal; monitorar FC fetal, crescimento e Doppler",Hipotireoidismo materno,Indicação de cesárea indicação frequente,Suspender antitireoidiano,B,TRAb pode atravessar placenta e estimular tireoide fetal.,3,"TRAb,feto,monitorização"
CUR2-103,Tireoidopatias na Gestação,Nódulo tireoidiano detectado no 2º tri. Conduta geral:,Iodo radioativo para diagnóstico,"US + FNA conforme critérios; se operar, preferir 2º trimestre",Cirurgia urgente no 1º trimestre para todos os nódulos,Aguardar habitualmente o pós‑parto sem avaliação,Suspender toda medicação,B,"US e FNA são seguros; caso cirúrgico, prefere‑se o 2º trimestre quando possível.",3,"nódulo,FNA,cirurgia 2º tri"
CUR2-104,Tireoidopatias na Gestação,Tireoidite pós-parto. Manejo típico:,Iodo radioativo,Betabloqueador na fase tireotóxica; levotiroxina na fase hipo se sintomática; muitas recuperam espontaneamente,Metimazol por 12 meses,Cirurgia,Sem acompanhamento,B,"Curso bifásico e, muitas vezes, autolimitado; tratar sintomas.",2,"tireoidite pós-parto,tratamento"
CUR2-105,Tireoidopatias na Gestação,Alimentação ao seio e levotiroxina:,Não recomendado,Compatível; a LT4 é segura na lactação,Exige suspensão da LT4,Necessita reduzir dose habitualmente,Não recomendado por 6 meses,B,Levotiroxina é segura na amamentação.,1,"lactação,levotiroxina"
CUR2-106,Tireoidopatias na Gestação,Meta terapêutica no hipertireoidismo gestacional com ATD:,Manter T4L no limite alto da normalidade evitando hipotireoidismo fetal,Zerar T4L,"TSH habitualmente 0,0",FC fetal <100 habitualmente,TRAb 0 habitualmente,A,Objetivo é evitar excesso de bloqueio tireoidiano fetal.,3,"ATD,meta,T4L"
CUR2-107,Tireoidopatias na Gestação,Monitorização laboratorial do hipotireoidismo tratado na gestação:,"TSH mensalmente após ajuste inicial, depois a cada 4–6 semanas",TSH anual,Preferencialmente T3,Preferencialmente PRL,Sem necessidade,A,Reavaliações frequentes são necessárias por alterações fisiológicas.,2,"TSH,monitorização"
CUR2-108,Tireoidopatias na Gestação,Uso de iodo radioativo e gravidez:,Permitido após o 2º tri,Absolutamente não recomendado na gestação e lactação,Permitido na lactação,Dose reduzida é segura,Indicado para tireoidite,B,Radioiodo é contraindicado na gestação e lactação.,3,"radioiodo,CI,gravidez"
CUR2-109,Vulvovaginites,"Critérios de Amsel para vaginose bacteriana incluem, EXCETO:",Corrimento fino homogêneo,"pH vaginal >4,5",Teste de aminas positivo,Clue cells no esfregaço,Pseudohifas e esporos,E,"Pseudohifas indicam candidíase, não VB.",2,"Amsel,VB,diagnóstico"
CUR2-110,Vulvovaginites,Nugent score é baseado em:,pH e teste de amina,"Gram de flora vaginal (lactobacilos, Gardnerella/Bacteroides, Mobiluncus)",Cultura para Candida,PCR para Trichomonas,Exame de urina,B,Nugent usa Gram para pontuar flora e diagnosticar VB.,3,"Nugent,Gram,VB"
CUR2-111,Vulvovaginites,Candidíase vulvovaginal recorrente na gestação. Melhor estratégia:,Fluconazol VO mensal,Terapia tópica intermitente prolongada (azólico tópico),Antibiótico profilático,Clindamicina VO,Sem tratamento,B,"Na gestação, preferir esquemas tópicos; evitar fluconazol sistêmico.",2,"candidíase recorrente,gestação"
CUR2-112,Vulvovaginites,Tricomoníase e parceiro sexual:,Não há necessidade de tratar o parceiro,Tratar parceiro simultaneamente,Preferencialmente orientar higiene,Aguardar negativação da mulher,Usar penicilina benzatina,B,Tratar parceiro reduz recidiva.,2,"tricomoníase,parceiro"
CUR2-113,Vulvovaginites,Leucorreia fisiológica da gestação costuma apresentar:,pH elevado com odor fétido,"Secreção branca/leitosa, sem prurido importante e pH normal",Corrimento esverdeado bolhoso,Clue cells,Pseudohifas,B,Mudanças hormonais aumentam secreção fisiológica sem sinais infecciosos.,1,"leucorreia fisiológica,gestação"
CUR2-114,Vulvovaginites,BV na gestação assintomática de baixo risco:,Tratar rotineiramente para prevenir prematuridade,Não há indicação consistente de tratamento universal; individualizar,Internar,Antifúngico tópico,Iodo vaginal,B,Tratamento universal assintomático é controverso; individualizar conforme risco.,2,"VB,assintomática,conduta"
CUR2-115,Vulvovaginites,Candidíase: achado típico no exame:,"pH >5,5",Pseudohifas em KOH e pH normal,Clue cells,Movimento flagelado,Odor de amina intenso,B,Candidíase: pH normal e pseudohifas.,1,"candidíase,diagnóstico"
CUR2-116,Vulvovaginites,Tricomoníase: achado típico no exame:,Clue cells,Pseudohifas,Protozoários móveis flagelados em solução salina,Lactobacilos aumentados,pH normal,C,Microscopia em solução salina mostra tricomonas móveis; pH costuma estar elevado.,2,"tricomonas,microscopia"
CUR2-117,Vulvovaginites,Tratamento de VB na amamentação (sintomática):,Metronidazol VO é aceitável; pode orientar ordenha e descarte por 12–24h conforme dose,Fluconazol 400 mg,Ceftriaxona,Preferencialmente probióticos,Suspender amamentação por 1 mês,A,Metronidazol é compatível; recomendações variam com dose/forma.,2,"VB,lactação,metronidazol"
CUR2-118,Vulvovaginites,Persistência de sintomas após tratamento de VB. Próximo passo:,"Repetir curso, considerar alternativa (clindamicina) e avaliar ISTs/aderência",Dar antifúngico,Nada a fazer,Suspender toda medicação,Corticoterapia,A,Falha terapêutica pode requerer esquema alternativo e investigação.,2,"VB,recorrência,alternativa"
CUR2-119,Vulvovaginites,Gestante com candidíase vulvovaginal e fissuras dolorosas. Conduta:,Fluconazol VO 150 mg,Antifúngico tópico + medidas de conforto; evitar azólico sistêmico,Metronidazol,Penicilina G,Corticoterapia,B,"Na gestação, preferência por tópicos.",1,"candidíase,gestante,tratamento"
CUR2-120,Vulvovaginites,Tricomoníase no 1º tri. Conduta:,Adiar tratamento para pós-parto,Tratar com metronidazol (dose apropriada) e parceiro,Usar doxiciclina,Preferencialmente higiene,Vacina,B,Metronidazol é indicado e tratar parceiro reduz reinfecção.,2,"tricomoníase,1º tri,parceiro"
CUR3-001,Hemorragias da 1ª  Metade da Gestação,Sangramento no 1º trimestre em gestante Rh− não sensibilizada. Melhor conduta preventiva:,Não é necessário anti-D no 1º trimestre,Imunoglobulina anti-D dentro de 72h do evento,Aguardar Coombs indireto do parceiro,Preferencialmente repetir ultrassom em 1 semana,"Fazer corticoide — na prática, individualizar",B,Eventos com risco de hemorragia feto-materna (sangramento no 1º tri) pedem profilaxia anti-D em gestante Rh− não sensibilizada.,2,"anti-D,1º trimestre,FMH"
CUR3-002,Hemorragias da 1ª  Metade da Gestação,"Zona discriminatória do β-hCG para visualização de saco gestacional intrauterino por US transvaginal é, tipicamente:",800–1.200 mUI/mL,1.500–2.000 mUI/mL,2.500–3.500 mUI/mL,4.500–5.500 mUI/mL,Parâmetro dispensável em qualquer serviço,B,"Muitos serviços usam 1.500–2.000 mUI/mL como referência para visualização do saco por US TV, com variações.",3,"zona discriminatória,US TV"
CUR3-003,Hemorragias da 1ª  Metade da Gestação,US após aborto incompleto: qual achado sugere restos ovulares (RPOC) e necessidade de conduta?,"Endométrio fino <10 mm, assintomática",Eco endometrial heterogêneo espesso com vascularização ao Doppler e sangramento persistente,Ausência de vascularização,Útero em AVF,Corpo lúteo ovariano presente,B,Heterogeneidade/espessamento com vascularização e sangramento persistente sugerem RPOC.,3,"RPOC,US,Doppler"
CUR3-004,Hemorragias da 1ª  Metade da Gestação,Paciente com aborto retido opta por manejo medicamentoso. Esquema frequente com misoprostol:,50 µg via oral a cada 12h por 2 dias,"800 µg via vaginal/sub-lingual, repetir conforme protocolo",Metotrexato intramuscular em dose única,Preferencialmente ocitocina EV,Progesterona por 7 dias,B,"Esquemas com 800 µg (VV/SL) são comuns; repetir se necessário, conforme protocolo do serviço.",3,"misoprostol,aborto retido,esquema"
CUR3-005,Hemorragias da 1ª  Metade da Gestação,Gestante 8s com dor e sangramento; US TV mostra saco decidual sem embrião e sem anel corial. Diagnóstico provável:,Gestação anembrionária,Pseudossaco decidual (ectópica),Mola hidatiforme,Ameaça de aborto,Aborto completo,B,"Pseudossaco é central, sem anel duplo; sugere ectópica até prova em contrário.",4,"ectópica,pseudossaco,US"
CUR3-006,Hemorragias da 2ª Metada de Gestação,"Placenta prévia com 2º episódio de sangramento a 33s, estável. Conduta:",Alta imediata,"Internação, corticoterapia e vigilância; evitar toque",Indução do parto,Toque digital seriado,Parto vaginal programado,B,"Reinternar, corticoide e vigilância em pré-termo; evitar toque digital.",3,"placenta prévia,2º sangramento,corticoterapia"
CUR3-007,Hemorragias da 2ª Metada de Gestação,Rotura uterina iminente no intraparto é sugerida por:,Contrações regulares e dor ausente,"Dor intensa contínua, sensibilidade uterina, perda da apresentação, alterações FCF e sangramento",Útero macio e indolor,FCF reativa e estável,Progressão rápida do trabalho,B,"Dor contínua, sensibilidade e sinais fetais/maternos são suspeitos para rotura.",4,"rotura uterina,sinais,emergência"
CUR3-008,Hemorragias da 2ª Metada de Gestação,Acretismo placentário suspeito no pré-natal. Exame complementar útil quando US é duvidosa:,RNM pélvica,Cintilografia,Raio-X simples,Histerossalpingografia,Nenhum exame auxilia,A,RNM pode ajudar a definir extensão quando US é inconclusiva.,2,"acretismo,RNM,imagem"
CUR3-009,Hemorragias da 2ª Metada de Gestação,DPP leve com colo favorável e feto vivo a 37s. Melhor via de parto em geral:,Cesárea indicação frequente,"Via vaginal se progresso e condições, com monitorização",Expectante até 40s,Amniotomia contraindicada,Alta domiciliar,B,"Em fim de gestação e quadro leve, via vaginal é possível se condições favoráveis.",3,"DPP,via vaginal,37s"
CUR3-010,Hemorragias da 2ª Metada de Gestação,Vasa prévia diagnosticada antenatalmente a 34s. Conduta planejada:,Parto vaginal ao entrar em TP,Cesárea eletiva por volta de 34–36s após corticoterapia,Aguardar 40s,Amniotomia precoce,Parto vaginal com amnioinfusão,B,Programar cesárea antes da ruptura de membranas reduz mortalidade fetal.,4,"vasa prévia,cesárea programada"
CUR3-011,Isoimunização Materno-Fetal,Kleihauer-Betke estima volume de hemorragia feto-materna. Utilidade:,Diagnosticar anemia fetal,Ajustar dose de imunoglobulina anti-D pós-evento/pós-parto,Definir via de parto,Avaliar maturidade pulmonar,Não tem função,B,Serve para calcular a dose necessária de anti-D quando a FMH é significativa.,2,"Kleihauer,FMH,anti-D"
CUR3-012,Isoimunização Materno-Fetal,"Coombs indireto caiu após parto, porém houve falha em administrar anti-D em 72h. Conduta:",Nada a fazer após 72h,"Considerar administração até 28 dias, embora eficácia seja maior até 72h",Interromper amamentação,Indicar parto prematuro,Fazer corticoterapia,B,"Embora ideal até 72h, alguns protocolos admitem benefício até 28 dias.",3,"anti-D,janela tardia"
CUR3-013,Isoimunização Materno-Fetal,"Durante vigilância com ACM, valor oscilando entre 1,45–1,55 MoM a 30–31s. Conduta:",Alta — conforme protocolo do serviço,"Aumentar frequência das medidas e programar intervenção se mantiver ≥1,5 MoM",Cordocentese imediata em todos os casos,Preferencialmente CTG semanal,Suspender seguimento,B,"Valores limítrofes pedem vigilância estreita; ≥1,5 MoM indica anemia provável.",3,"ACM,limiar,seguimento"
CUR3-014,Isoimunização Materno-Fetal,"mãe Rh−, pai RhD heterozigoto. Teste cffDNA RhD fetal negativo. Implicação:",Feto RhD+ com certeza,"Feto provavelmente RhD−, evitando procedimentos desnecessários",Indicar cordocentese,Tratar como sensibilizada,Parto imediato,B,"Genotipagem fetal sugere RhD−, reduzindo intervenções.",2,"cffDNA,RhD fetal,heterozigoto"
CUR3-015,Isoimunização Materno-Fetal,Hidropsia fetal por isoimunização em 28s. Melhor conduta inicial:,Aguardar 34s,Referenciar para centro com transfusão intrauterina,Induzir parto vaginal,Cortar amamentação,Profilaxia anti-D,B,Hidropsia indica anemia grave; TUI deve ser considerada onde disponível.,4,"hidropsia,TUI,referência"
CUR3-016,Sofrimento Fetal Agudo e Crônico,Traçado categoria II persistente sem resposta a medidas intrauterinas. Próximo passo quando disponível:,Alta,Coleta de lactato/pH de couro cabeludo para estratificação,Aumentar ocitocina,Amniotomia indicação frequente,Aguardar indefinidamente,B,Microanálise pode direcionar decisão de desfecho.,3,"categoria II,lactato couro cabeludo"
CUR3-017,Sofrimento Fetal Agudo e Crônico,Desacelerações variáveis com “ombros” (acelerações pré/pós). Interpretação:,Compressão de cabeça,Compressão de cordão com resposta compensatória,Hipóxia tardia,Padrão sinusoidal,Artefato,B,Ombros são típicos de variáveis por cordão.,2,"variáveis,ombros,cordão"
CUR3-018,Sofrimento Fetal Agudo e Crônico,Estímulo digital de couro cabeludo intraparto gera aceleração. Significado:,Acidose grave,Reserva fetal adequada (teste indireto de reatividade),Necessidade de cesárea imediata,Falha do traçado,Nada se conclui,B,Aceleração com estímulo sugere pH adequado.,2,"estimulação,aceleração,reatividade"
CUR3-019,Sofrimento Fetal Agudo e Crônico,Quando considerar parto em SFA intraparto apesar de medidas:,Categoria I sustentada,Categoria II resolvida,Categoria III persistente,Traçado normal,Ausência de contrações,C,Categoria III sustentada indica desfecho (via mais rápida).,4,"categoria III,desfecho"
CUR3-020,Sofrimento Fetal Agudo e Crônico,RCIU assimétrico (tipo 2) é mais associado a:,Agressões cromossômicas precoces,Insuficiência placentária tardia (circunferência abdominal < P10),Infecções congênitas,Malformações maiores precoces,Gestações múltiplas,B,Assimétrico (cabeça poupada) sugere insuficiência placentária de instalação tardia.,3,"RCIU,tipo 2,placentária"
CUR3-021,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",Sífilis tardia latente na gestação. Esquema adequado:,"Benzatina penicilina G 2,4 mi uma dose","Benzatina penicilina G 2,4 mi semanal por 3 semanas",Doxiciclina 14 dias,Azitromicina dose única,Nenhum tratamento,B,Latente tardia requer três doses semanais.,3,"sífilis latente tardia,esquema"
CUR3-022,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",Alergia imediata grave à penicilina na gestante com sífilis. Conduta:,Usar doxiciclina,Dessensibilizar e tratar com penicilina,Azitromicina resolve,Não tratar,Tetraciclina por 4 semanas,B,Penicilina é a única droga com eficácia fetal; dessensibilização se alergia imediata.,4,"dessensibilização,penicilina,gestação"
CUR3-023,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",HIV com CV 1.200 cópias/mL nas 38s. Conduta quanto à via:,Parto vaginal se carga viral <~1.000 cópias/mL,Cesárea eletiva programada quando carga viral >~1.000 cópias/mL,Cesárea preferencialmente se bolsa rota >4 h,Via de parto não se relaciona à carga viral,Fórceps profilático reduz transmissão,B,"Com CV >~1.000, indica‑se cesárea eletiva; com CV indetectável/baixa, parto vaginal pode ser possível.",3,"HIV,cesárea,carga viral"
CUR3-024,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",Triagem 35–37s positiva para EGB. Sem alergia. Conduta intraparto:,Penicilina G EV até o parto,Clindamicina EV habitualmente,Cefalexina VO,Vancomicina VO,Sem profilaxia,A,Pen G EV é padrão para profilaxia intraparto.,2,"EGB,penicilina G,protocolo"
CUR3-025,"Infecções na Gestação - Sífilis, Hepatite B, Toxoplasmose e EGB",IgG positiva de alta avidez para toxoplasmose no 1º tri. Interpretação:,Infecção recente,"Infecção antiga, baixíssima chance de infecção fetal atual",Necessidade de triplo esquema já,Indicar interrupção,Infeção aguda indicação frequente,B,Avididade alta no 1º tri sugere infecção antiga.,2,"toxoplasmose,avididade alta,interpretação"
